,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
0,1400000US36005000200,55797.0,2.5,2.5,3.1,3.1,16.7,4.5,0.137185811604,4.7,16.7,0.567770730561,0.0957792207792
1,1400000US36005000400,70486.0,3.8,2.3,11.5,7.7,18.7,5.0,0.158918918919,4.3,18.7,0.580756756757,0.0775480059084
2,1400000US36005001600,30438.0,15.4,7.5,0.8,0.8,3.7,9.6,0.202945677123,9.4,3.7,0.443190512624,0.19693877551
3,1400000US36005002000,22827.0,28.5,18.1,2.9,2.2,5.5,10.1,0.138377244113,19.5,5.5,0.439612963395,0.365612648221
4,1400000US36005002300,12873.0,37.2,25.4,0.0,0.0,2.3,21.7,0.407613535174,25.5,2.3,0.2482190561,0.456342668863
5,1400000US36005002500,15202.0,38.3,21.0,0.5,0.5,1.2,11.0,0.313645621181,21.0,1.2,0.443251249769,0.379049676026
6,1400000US36005002701,20294.0,36.1,12.9,1.9,1.9,3.5,8.3,0.122692725299,12.9,3.5,0.303655446978,0.418864097363
7,1400000US36005002702,20475.0,31.0,23.7,0.9,0.9,1.1,7.1,0.19825018615,24.6,1.1,0.451973194341,0.501715854496
8,1400000US36005002800,45809.0,9.4,8.0,2.4,1.8,10.8,6.4,0.0401308990699,8.3,10.8,0.107130554599,0.0747271200672
9,1400000US36005003100,33424.0,17.3,12.5,0.0,0.0,5.2,18.4,0.0886167146974,13.3,5.2,0.402017291066,0.166306695464
10,1400000US36005003300,11053.0,46.2,22.0,0.0,0.0,0.7,9.1,0.265545685279,23.4,0.7,0.370241116751,0.525738396624
11,1400000US36005003500,18066.0,28.3,13.0,0.0,0.0,2.3,11.5,0.344941459021,13.0,2.3,0.384869408586,0.38809946714
12,1400000US36005003700,14000.0,39.4,13.4,0.0,0.0,0.0,17.6,0.309178743961,13.4,0.0,0.562801932367,0.492957746479
13,1400000US36005003800,46532.0,13.4,7.1,5.0,5.0,10.8,1.7,0.126769230769,11.9,10.8,0.387692307692,0.191037735849
14,1400000US36005003900,22780.0,29.6,19.8,1.2,0.6,6.4,9.0,0.409270476692,21.2,6.4,0.348169607585,0.436413540714
15,1400000US36005004001,43976.0,8.7,8.7,0.0,0.0,4.7,4.7,0.26582278481,11.8,4.7,0.230512991339,0.12146422629
16,1400000US36005004100,16193.0,37.4,24.6,1.3,0.0,1.8,11.4,0.250615056585,25.4,1.8,0.343775627358,0.444754464286
17,1400000US36005004300,25114.0,27.6,22.3,0.5,0.0,2.3,10.9,0.190435342054,24.6,2.3,0.465580098649,0.368101879927
18,1400000US36005004400,19813.0,33.1,23.1,3.3,2.5,1.3,10.8,0.155304740406,24.3,1.3,0.328668171558,0.370141887724
19,1400000US36005004600,32625.0,27.0,18.6,3.2,0.0,4.3,1.6,0.110660486674,19.3,4.3,0.544611819235,0.47551342812
20,1400000US36005004800,26678.0,21.9,19.3,0.3,0.0,4.9,7.6,0.147934918648,19.4,4.9,0.518397997497,0.387372013652
21,1400000US36005005200,28295.0,17.2,12.8,0.0,0.0,2.6,18.1,0.0678733031674,13.4,2.6,0.410256410256,0.307793923382
22,1400000US36005005400,30185.0,20.6,13.9,2.4,2.4,3.4,9.5,0.0994722533184,14.3,3.4,0.559411482488,0.282941176471
23,1400000US36005005600,28984.0,24.0,19.0,2.8,1.0,8.0,4.9,0.0872544540886,24.3,8.0,0.357697578803,0.201525054466
24,1400000US36005005902,34510.0,21.3,13.7,3.5,3.5,4.8,7.4,0.248767368893,17.7,4.8,0.290452711788,0.166344294004
25,1400000US36005006000,25962.0,16.8,12.3,0.0,0.0,0.0,7.1,0.0738636363636,13.9,0.0,0.866071428571,0.489528795812
26,1400000US36005006100,32599.0,12.1,7.2,0.4,0.4,3.7,11.4,0.028165374677,11.7,3.7,0.152196382429,0.133467134972
27,1400000US36005006200,16922.0,31.2,17.5,0.0,0.0,2.4,15.4,0.113625721867,16.9,2.4,0.342437958483,0.404791929382
28,1400000US36005006400,41013.0,16.4,8.7,2.9,2.2,3.7,8.8,0.0785395324402,11.3,3.7,0.350407144733,0.318755256518
29,1400000US36005006500,20025.0,19.4,13.7,0.8,0.8,3.9,12.3,0.159172472029,13.5,3.9,0.462317922736,0.363225806452
30,1400000US36005006700,15620.0,31.9,22.1,0.0,0.0,0.9,15.1,0.157715839565,23.1,0.9,0.460910944935,0.43864346274
31,1400000US36005006800,52964.0,13.8,12.8,4.4,3.5,11.8,10.3,0.13107557228,14.8,11.8,0.377861398558,0.215464813206
32,1400000US36005006900,18194.0,31.3,21.4,0.0,0.0,4.5,14.0,0.260591225758,22.6,4.5,0.26944078328,0.451695786228
33,1400000US36005007000,41042.0,5.6,4.2,0.0,0.0,10.8,11.6,0.106909745667,5.7,10.8,0.431015079901,0.236737925574
34,1400000US36005007100,28125.0,17.6,9.5,6.2,3.0,11.2,20.6,0.214377959535,16.3,11.2,0.214377959535,0.363796133568
35,1400000US36005007200,36308.0,14.1,8.1,3.7,3.1,3.7,8.0,0.137612797375,8.8,3.7,0.313371616079,0.190092879257
36,1400000US36005007300,24696.0,20.1,15.7,0.7,0.0,0.6,16.7,0.309724564362,16.3,0.6,0.369870713884,0.373366013072
37,1400000US36005007400,47813.0,12.4,4.5,7.5,4.8,5.4,2.8,0.143924716302,7.2,5.4,0.416274564074,0.124907063197
38,1400000US36005007500,26483.0,25.9,18.7,0.7,0.7,7.6,8.1,0.177730696798,26.8,7.6,0.465395480226,0.302130406714
39,1400000US36005007700,53254.0,5.8,1.8,4.6,4.6,13.7,5.3,0.233557742103,3.0,13.7,0.508544795443,0.258652094718
40,1400000US36005007800,38953.0,14.5,9.0,4.6,2.6,8.9,10.8,0.142300884956,12.1,8.9,0.56814159292,0.197576396207
41,1400000US36005007900,16512.0,35.5,23.3,1.1,1.1,0.5,13.3,0.217377907872,23.9,0.5,0.399476197812,0.463603275705
42,1400000US36005008300,22585.0,25.4,12.0,0.6,0.6,2.1,12.7,0.275048529192,13.2,2.1,0.435269523667,0.418639053254
43,1400000US36005008400,80000.0,2.4,0.0,4.0,1.3,33.2,7.9,0.128493647913,0.0,33.2,0.288203266788,0.0780423280423
44,1400000US36005008500,25115.0,25.0,19.7,2.0,1.4,3.6,11.9,0.162575528701,22.0,3.6,0.456948640483,0.397535667964
45,1400000US36005008600,24250.0,22.4,13.4,0.0,0.0,1.9,12.3,0.18120965814,14.4,1.9,0.420033468802,0.230402181322
46,1400000US36005008700,23496.0,28.7,20.1,0.8,0.0,6.0,9.2,0.13304397056,21.4,6.0,0.627099452727,0.417205692109
47,1400000US36005008900,22558.0,41.0,31.2,1.9,0.0,1.1,5.8,0.20636747219,32.9,1.1,0.611047180667,0.448173741362
48,1400000US36005009200,41827.0,11.0,6.6,2.7,0.0,9.7,11.6,0.131331168831,9.4,9.7,0.548863636364,0.132780082988
49,1400000US36005009800,52888.0,6.5,3.8,8.8,7.0,18.0,3.8,0.287772441818,6.6,18.0,0.363871444403,0.133002207506
50,1400000US36005011000,9806.0,53.0,42.1,0.0,0.0,6.6,0.0,0.389400921659,38.0,6.6,0.403225806452,0.264900662252
