,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999","Income_$10,000_14,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Income_$100,000_149,999",Some_other_race_alone_percent,"Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $75,000 to $99,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more"
1619,75360.0,1.6,18.4,2.7,1.6,18.4,0.0279252884087,21.4,10.6
1620,65707.0,4.9,11.0,2.8,4.9,11.0,0.0155717761557,21.6,15.1
1621,77991.0,4.7,13.2,1.7,3.4,13.2,0.0,17.7,20.7
1622,55409.0,7.9,12.5,4.5,7.2,12.5,0.156984785615,12.0,6.0
1623,79963.0,4.6,27.9,5.1,1.8,27.9,0.00233050847458,17.8,8.2
1624,78500.0,9.8,24.6,0.0,4.0,24.6,0.0,9.2,17.3
1625,48785.0,9.6,5.1,4.8,5.8,5.1,0.109090909091,18.3,3.8
1626,65292.0,7.9,18.1,1.1,3.3,18.1,0.0660980810235,15.3,8.7
1627,83992.0,0.0,22.8,1.4,0.0,22.8,0.0124352331606,14.4,14.7
1628,48800.0,4.5,9.0,8.5,3.0,9.0,0.106010568032,12.9,10.4
1629,77813.0,2.2,33.0,1.0,2.2,33.0,0.0081494057725,9.1,9.1
1630,64583.0,3.6,15.2,2.1,2.7,15.2,0.154113557358,18.8,15.0
1631,47788.0,11.8,9.5,3.1,8.2,9.5,0.0680093403386,10.1,3.3
1632,77972.0,2.3,19.5,4.0,1.2,19.5,0.081800321486,17.3,14.8
1633,73289.0,2.4,16.7,0.7,2.1,16.7,0.0706505740359,19.2,11.2
1634,95625.0,2.0,14.1,1.1,0.0,14.1,0.0468164794007,15.9,30.3
1635,94331.0,4.3,19.1,1.8,3.7,19.1,0.0508100147275,17.4,25.5
1636,54631.0,9.3,17.6,5.9,3.0,17.6,0.01728844404,7.4,12.8
1637,57178.1090089,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1638,36915.0,19.2,16.4,4.4,16.5,16.4,0.0462659380692,12.7,4.3
1639,59438.0,17.1,12.0,5.6,5.5,12.0,0.0728992765721,20.1,9.0
1640,77821.0,2.4,22.1,7.4,2.4,22.1,0.0776699029126,13.3,15.5
1641,92083.0,6.2,17.9,0.0,5.0,17.9,0.0147208121827,13.1,29.7
1642,59712.0,3.4,16.6,3.0,0.0,16.6,0.0487567040468,13.1,12.6
1643,83017.0,2.4,21.5,1.9,1.0,21.5,0.0501653803749,15.3,16.9
1644,65417.0,5.3,17.6,4.0,1.8,17.6,0.0101639344262,20.2,6.0
1645,46274.0,8.5,15.9,6.6,5.3,15.9,0.0243957027753,13.3,7.1
1646,38281.0,10.7,14.7,15.0,7.1,14.7,0.0107260726073,5.3,1.9
1647,82548.0,3.3,20.6,1.3,0.8,20.6,0.0253829321663,13.5,18.4
1648,56637.0,3.5,13.4,4.5,1.7,13.4,0.0465970064953,11.1,15.7
1649,72927.0,7.1,16.9,1.5,7.1,16.9,0.110338835795,15.6,12.3
1650,58611.0,1.9,10.8,1.6,0.0,10.8,0.111947318909,13.0,11.9
1651,47337.0,8.1,19.3,0.0,1.9,19.3,0.0411322423706,7.2,6.8
1652,70406.0,3.6,20.0,4.6,1.6,20.0,0.012166333757,15.7,10.7
1653,49671.0,5.4,7.7,8.2,2.0,7.7,0.159217877095,9.7,9.2
1654,48849.0,5.7,13.4,2.8,1.1,13.4,0.113826472035,17.1,7.2
1655,63239.0,1.8,14.9,7.7,0.9,14.9,0.0449814126394,11.8,7.2
