,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
6124,1400000US36005000200,69514.0,11.4,8.5,5.3,3.3,23.1,1.9,0.278303828736,18.8,23.1,0.337175792507,0.238307349666
6125,1400000US36005000400,73036.0,4.7,0.8,11.4,9.6,21.2,3.0,0.250561377246,0.0,21.2,0.418600299401,0.168282943525
6126,1400000US36005001600,30817.0,11.1,8.6,2.7,0.5,4.9,14.2,0.294343240652,10.1,4.9,0.354362416107,0.371208226221
6127,1400000US36005001900,33862.0,21.7,12.3,5.5,5.5,3.4,4.2,0.388368462139,12.2,3.4,0.320452771272,0.333333333333
6128,1400000US36005002000,19150.0,26.1,19.0,1.9,1.1,4.4,12.1,0.190397350993,20.0,4.4,0.342242194891,0.540604026846
6129,1400000US36005002300,13902.0,33.2,21.9,0.0,0.0,1.6,20.5,0.296232876712,21.6,1.6,0.240582191781,0.647411444142
6130,1400000US36005002500,14628.0,29.1,20.0,0.6,0.0,0.7,22.1,0.356499608457,19.6,0.7,0.340642129992,0.577728776185
6131,1400000US36005002701,26094.0,22.9,12.1,4.2,4.2,1.0,14.6,0.292244640605,12.1,1.0,0.217843631778,0.683663833805
6132,1400000US36005002702,19237.0,28.1,20.9,0.0,0.0,1.4,11.0,0.270590726233,21.3,1.4,0.316959559602,0.461594202899
6133,1400000US36005002800,48717.0,4.4,2.8,2.6,1.2,12.6,5.3,0.0475534114404,3.2,12.6,0.205547898001,0.119230769231
