,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
8241,1400000US36005000200,74837.0,12.7,9.0,5.6,3.3,26.3,3.0,0.315210991168,19.6,26.3,0.301864573111,0.255982596084
8242,1400000US36005000400,77991.0,5.7,1.9,9.4,6.2,23.7,3.2,0.300430725054,3.0,23.7,0.32304379038,0.192413413964
8243,1400000US36005001600,32354.0,11.1,7.4,3.2,0.4,6.8,11.6,0.342756836659,8.6,6.8,0.306725794531,0.324267782427
8244,1400000US36005001900,34635.0,16.9,10.2,5.3,5.3,3.5,4.0,0.322304398599,9.6,3.5,0.325029194239,0.31175059952
8245,1400000US36005002000,23423.0,24.0,16.9,3.8,2.3,2.7,11.5,0.207277597946,18.9,2.7,0.266212746958,0.496308724832
8246,1400000US36005002300,14304.0,33.8,20.0,0.0,0.0,2.0,19.3,0.160288065844,19.8,2.0,0.320164609053,0.690918746681
8247,1400000US36005002500,15683.0,26.6,17.7,0.6,0.0,3.3,21.1,0.271048026444,18.0,3.3,0.445848726424,0.608695652174
8248,1400000US36005002701,20159.0,29.7,12.4,0.0,0.0,0.0,10.3,0.220996216898,12.4,0.0,0.338272383354,0.597605893186
8249,1400000US36005002702,18416.0,21.4,17.9,0.0,0.0,0.7,20.9,0.216100790092,18.3,0.7,0.414050822123,0.466616654164
8250,1400000US36005002800,50388.0,7.6,4.3,3.9,2.1,15.1,4.6,0.0328924469196,4.9,15.1,0.126522798468,0.157962328767
8251,1400000US36005003100,39962.0,10.0,9.4,0.0,0.0,4.7,3.7,0.284785435631,9.1,4.7,0.306241872562,0.251473477407
8252,1400000US36005003300,19784.0,23.6,13.6,0.0,0.0,0.7,10.6,0.265057113188,15.2,0.7,0.32502596054,0.679245283019
8253,1400000US36005003500,22267.0,23.8,9.9,0.0,0.0,2.0,11.8,0.0993871569411,10.5,2.0,0.540101252331,0.529411764706
8254,1400000US36005003700,9327.0,57.3,39.6,0.0,0.0,0.0,0.0,0.251256281407,39.6,0.0,0.542713567839,0.364583333333
8255,1400000US36005003800,46534.0,19.2,7.9,8.1,0.0,16.8,4.3,0.207214121259,12.7,16.8,0.297774366846,0.344173441734
8256,1400000US36005003900,27608.0,20.5,14.2,5.6,5.1,5.3,9.3,0.261550151976,15.3,5.3,0.504255319149,0.447300771208
8257,1400000US36005004001,47841.0,4.4,4.4,8.5,3.2,14.1,0.0,0.243870967742,8.6,14.1,0.16064516129,0.115308151093
8258,1400000US36005004100,18516.0,26.0,15.5,2.7,0.0,0.0,13.2,0.274718494524,16.8,0.0,0.36294925189,0.529732408325
8259,1400000US36005004200,22135.0,12.9,7.0,0.0,0.0,3.3,15.7,0.212001579155,7.0,3.3,0.190288195815,0.50312614932
8260,1400000US36005004300,21827.0,19.1,16.2,2.3,1.0,3.2,17.3,0.135422016778,17.9,3.2,0.5065913371,0.465938637546
8261,1400000US36005004400,23102.0,21.8,18.4,1.3,0.0,4.1,13.8,0.124637681159,19.9,4.1,0.36231884058,0.495209580838
8262,1400000US36005004600,44297.0,17.3,10.9,6.1,5.0,0.7,4.1,0.261603375527,13.8,0.7,0.332127787824,0.279883381924
8263,1400000US36005004800,24437.0,16.3,9.3,0.0,0.0,5.9,12.2,0.136928429423,9.1,5.9,0.514413518887,0.45056726094
8264,1400000US36005005001,31250.0,19.5,13.1,2.1,1.5,8.7,5.8,0.0978174603175,15.3,8.7,0.367857142857,0.486950549451
8265,1400000US36005005002,29338.0,17.7,15.9,3.3,2.3,2.6,9.8,0.180625107926,16.7,2.6,0.51510965291,0.437785388128
8266,1400000US36005005100,20233.0,20.1,12.8,1.7,1.7,0.9,13.1,0.130202958376,12.8,0.9,0.456484348125,0.629535002555
8267,1400000US36005005200,16810.0,28.5,10.6,4.8,3.4,2.2,16.1,0.174342105263,10.9,2.2,0.414003759398,0.469973890339
8268,1400000US36005005300,16173.0,33.9,27.5,0.0,0.0,0.0,12.0,0.0453857791225,27.5,0.0,0.290166414523,0.662058371736
8269,1400000US36005005400,32254.0,13.2,9.9,3.3,1.9,7.3,8.3,0.15645721503,11.9,7.3,0.428481212504,0.442452284558
8270,1400000US36005005600,17708.0,31.7,22.6,1.1,0.0,5.7,13.5,0.157256378084,23.8,5.7,0.502718527813,0.530542986425
8271,1400000US36005005902,38244.0,13.6,10.9,4.2,0.0,0.8,9.3,0.158963585434,13.1,0.8,0.425770308123,0.358402971216
8272,1400000US36005006000,43125.0,9.9,4.8,3.5,0.0,7.3,8.3,0.120805369128,5.3,7.3,0.684563758389,0.331210191083
8273,1400000US36005006100,47993.0,10.1,8.9,2.8,1.5,4.3,5.4,0.0436735712503,7.5,4.3,0.0643873221862,0.103149246919
8274,1400000US36005006200,24668.0,18.6,10.3,0.0,0.0,5.6,12.4,0.0870866961729,10.7,5.6,0.414345222598,0.44472361809
8275,1400000US36005006300,33809.0,20.4,12.9,1.7,1.7,6.0,8.9,0.288392857143,14.2,6.0,0.317410714286,0.393110989612
8276,1400000US36005006400,27048.0,22.1,14.3,2.7,0.9,7.8,9.9,0.184011220196,16.1,7.8,0.338849929874,0.436995153473
8277,1400000US36005006500,21959.0,24.1,13.8,1.2,0.5,0.8,12.3,0.131178382076,13.9,0.8,0.479049085001,0.53280839895
8278,1400000US36005006700,21443.0,27.9,13.4,0.5,0.5,4.6,12.0,0.130043690568,13.9,4.6,0.403366743768,0.623448866068
8279,1400000US36005006800,31607.0,8.6,5.0,0.9,0.9,7.7,11.0,0.113911290323,5.8,7.7,0.325940860215,0.310418904404
8280,1400000US36005006900,19824.0,21.6,16.4,0.8,0.0,6.5,22.2,0.101300038615,17.5,6.5,0.385506500193,0.622685185185
8281,1400000US36005007000,33712.0,10.4,7.8,4.2,4.2,10.6,8.5,0.201894102454,8.4,10.6,0.421653034869,0.42242703533
8282,1400000US36005007100,39792.0,9.4,4.2,2.3,2.3,7.8,8.9,0.129346904156,6.8,7.8,0.37828668363,0.41935483871
8283,1400000US36005007200,44844.0,10.0,5.7,3.8,1.8,8.3,9.7,0.161009864571,5.7,8.3,0.383547901689,0.357473928158
8284,1400000US36005007300,20678.0,26.1,14.8,0.0,0.0,7.1,14.9,0.0883534136546,15.4,7.1,0.516465863454,0.511261261261
8285,1400000US36005007400,44836.0,10.1,5.0,5.9,5.9,10.3,4.8,0.260472610097,3.8,10.3,0.422932330827,0.237888647867
8286,1400000US36005007500,22055.0,19.9,14.3,1.3,1.0,3.4,15.4,0.13199513382,16.1,3.4,0.406731549067,0.509393451422
8287,1400000US36005007600,41983.0,13.3,10.2,5.1,2.9,13.1,9.7,0.210319494276,12.2,13.1,0.392619169657,0.358374384236
8288,1400000US36005007700,26011.0,10.5,9.0,4.2,4.2,3.5,14.6,0.115021008403,10.8,3.5,0.569327731092,0.524916943522
8289,1400000US36005007800,34095.0,18.6,5.7,2.3,1.6,7.6,6.3,0.183168316832,6.7,7.6,0.437682003494,0.35878243513
8290,1400000US36005007900,23472.0,25.8,19.2,2.2,0.0,1.8,13.6,0.180357435645,19.8,1.8,0.476635514019,0.578001752848
8291,1400000US36005008300,19409.0,28.3,16.9,1.1,0.3,2.9,11.7,0.103615667894,18.7,2.9,0.554904586542,0.571982549685
8292,1400000US36005008400,52234.0,7.4,4.3,9.7,6.8,16.6,1.4,0.148753575807,6.8,16.6,0.404168369432,0.177556818182
8293,1400000US36005008500,24583.0,22.8,18.2,1.4,0.0,6.8,11.3,0.117014547755,20.0,6.8,0.63330170778,0.554719166184
8294,1400000US36005008600,21313.0,21.7,17.9,1.1,1.1,3.7,16.3,0.291113381001,19.7,3.7,0.334014300306,0.496028880866
8295,1400000US36005008700,28875.0,16.9,13.7,1.8,1.8,7.6,12.9,0.149547299407,14.2,7.6,0.587418045582,0.49918699187
8296,1400000US36005008900,19210.0,29.7,20.1,0.0,0.0,2.6,10.7,0.181073446328,21.0,2.6,0.485028248588,0.632464255677
8297,1400000US36005009000,27802.0,25.0,15.0,7.9,6.4,9.3,8.8,0.347280334728,17.7,9.3,0.237970711297,0.427710843373
8298,1400000US36005009200,42708.0,16.1,11.3,4.3,1.9,7.5,6.8,0.166759310728,15.1,7.5,0.511580507689,0.28125
8299,1400000US36005009300,30483.0,15.1,7.7,0.5,0.5,4.4,13.8,0.237988826816,7.7,4.4,0.43687150838,0.40749846343
8300,1400000US36005009600,41156.0,10.7,7.6,4.4,3.7,7.6,5.1,0.149002737583,8.3,7.6,0.447790379351,0.321870701513
8301,1400000US36005009800,54974.0,5.5,4.0,7.9,2.8,13.4,6.4,0.34376269809,7.0,13.4,0.3039414872,0.256090314914
8302,1400000US36005011000,46573.0,9.9,0.0,0.0,0.0,15.5,12.7,0.0,0.0,15.5,1.0,0.225352112676
8303,1400000US36005011502,21311.0,22.7,17.9,0.0,0.0,1.7,16.1,0.253261358525,18.9,1.7,0.314889788574,0.568214804064
8304,1400000US36005011700,24861.0,22.5,13.0,1.7,0.0,5.1,13.7,0.268518518519,12.4,5.1,0.348544973545,0.418524871355
8305,1400000US36005011800,77212.0,3.4,1.3,15.1,7.1,23.8,4.4,0.844031531532,4.0,23.8,0.0611861861862,0.0267005721551
8306,1400000US36005011900,23926.0,22.7,17.4,1.0,0.0,1.4,8.2,0.110592459605,17.9,1.4,0.489048473968,0.558407543216
8307,1400000US36005012101,31058.0,14.5,10.8,0.5,0.0,3.7,8.2,0.13802256138,12.9,3.7,0.511280690113,0.424673784104
8308,1400000US36005012102,17800.0,24.2,11.6,0.8,0.8,0.0,18.1,0.146127946128,11.8,0.0,0.650505050505,0.523622047244
8309,1400000US36005012300,20671.0,32.0,20.3,1.0,1.0,5.5,9.6,0.0620173745174,22.0,5.5,0.557673745174,0.559163059163
8310,1400000US36005012500,25317.0,14.9,8.4,4.6,1.4,2.4,10.2,0.114278811307,9.8,2.4,0.465088185552,0.411987860395
8311,1400000US36005012701,19922.0,29.7,25.8,0.0,0.0,2.7,11.8,0.193670288144,28.0,2.7,0.443552196504,0.669689119171
8312,1400000US36005012901,17500.0,27.8,20.4,0.7,0.7,0.7,19.5,0.0927377220481,21.1,0.7,0.393939393939,0.616017964072
8313,1400000US36005013000,78102.0,3.4,1.3,16.2,13.1,13.3,1.9,0.759370314843,2.7,13.3,0.116941529235,0.101052631579
8314,1400000US36005013100,29254.0,21.9,12.2,1.3,1.3,4.8,8.7,0.0972278842234,14.1,4.8,0.567468406033,0.449266503667
8315,1400000US36005013200,92855.0,2.9,0.4,11.6,8.3,26.5,1.4,0.482937062937,0.0,26.5,0.322657342657,0.104447974583
8316,1400000US36005013300,27742.0,20.9,15.8,2.7,2.7,8.2,10.1,0.0564596009622,17.4,8.2,0.530776850149,0.571043165468
8317,1400000US36005013500,22839.0,23.1,10.8,2.3,1.7,3.3,12.0,0.0907252969421,12.5,3.3,0.447308567096,0.587378640777
8318,1400000US36005013800,82941.0,6.8,5.8,13.2,7.0,24.2,3.8,0.7391699485,7.7,24.2,0.16782793093,0.072
8319,1400000US36005014100,31424.0,15.0,9.1,2.1,0.8,5.1,9.1,0.224025974026,9.3,5.1,0.324242424242,0.452862926547
8320,1400000US36005014300,12083.0,47.5,33.1,0.0,0.0,1.2,6.7,0.153927813163,32.7,1.2,0.301486199575,0.582089552239
8321,1400000US36005014400,19994.0,23.0,15.5,5.3,2.8,2.6,17.0,0.225668096338,16.8,2.6,0.285054437479,0.50923732828
8322,1400000US36005014500,21545.0,28.7,18.0,0.0,0.0,1.5,14.5,0.082581027083,18.1,1.5,0.427260618618,0.660663507109
