,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
11010,1400000US36047038300,48712.0,11.5,4.1,10.2,7.9,14.0,7.5,0.0552094522019,6.6,14.0,0.0438238453276,0.223990208078
11011,1400000US36047038500,39141.0,16.8,5.2,2.1,1.3,9.7,8.0,0.140903686088,7.0,9.7,0.0549940546968,0.267158671587
11012,1400000US36047038600,44766.0,0.8,0.8,6.3,5.5,9.5,9.3,0.488128106019,0.0,9.5,0.0908337934843,0.235
11013,1400000US36047038700,36430.0,11.2,6.3,4.6,2.8,8.3,5.2,0.172498767866,5.8,8.3,0.0406604238541,0.285714285714
11014,1400000US36047038800,60132.0,8.4,5.3,9.6,5.6,9.9,8.1,0.864657940232,10.1,9.9,0.0197579649296,0.141966759003
11015,1400000US36047038900,47059.0,15.1,14.4,2.5,1.1,16.8,9.5,0.321637426901,18.3,16.8,0.412742382271,0.346354166667
11016,1400000US36047039000,45682.0,7.7,4.3,13.6,5.7,9.0,3.2,0.968938740293,12.3,9.0,0.0,0.0634517766497
11017,1400000US36047039100,35542.0,19.1,12.0,1.5,1.5,12.1,11.5,0.396953985742,13.1,12.1,0.316915100454,0.421503330162
11018,1400000US36047039200,33125.0,11.4,6.4,1.5,1.0,7.7,7.6,0.824011400071,6.5,7.7,0.0121125757036,0.190802348337
11019,1400000US36047039300,52244.0,13.4,8.6,6.4,4.5,10.8,9.9,0.454994192799,10.8,10.8,0.0850754936121,0.297013720743
11020,1400000US36047039400,51927.0,6.9,5.7,8.8,0.5,8.5,3.3,0.876612903226,4.9,8.5,0.0395161290323,0.120759837178
11021,1400000US36047039500,27870.0,21.7,13.0,2.5,2.5,10.7,6.9,0.444708366324,16.7,10.7,0.0797044074954,0.446643717728
11022,1400000US36047039600,46926.0,3.5,1.6,20.2,5.1,9.2,6.5,0.909090909091,0.0,9.2,0.0258373205742,0.0705218617772
11023,1400000US36047039700,38266.0,12.6,4.8,4.6,3.4,8.3,9.0,0.356945722171,4.9,8.3,0.0279055504446,0.302422723475
11024,1400000US36047039800,52721.0,3.1,1.1,9.7,6.2,8.9,4.1,0.422525358517,1.2,8.9,0.10073452256,0.282932416953
11025,1400000US36047039900,31563.0,21.0,12.3,3.4,3.2,10.1,11.3,0.350472813239,14.0,10.1,0.0452127659574,0.422955974843
11026,1400000US36047040000,41759.0,8.8,3.1,1.9,1.9,8.3,8.7,0.442694663167,5.1,8.3,0.0982793817439,0.250447227191
11027,1400000US36047040100,42079.0,15.3,8.6,3.1,2.2,10.2,5.4,0.260727056019,9.8,10.2,0.122765196663,0.274137931034
