,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
1890,1400000US36005000200,63449.0,7.2,4.5,5.6,4.4,19.3,2.9,0.165114694526,8.7,19.3,0.455371337724,0.197735849057
1891,1400000US36005000400,75729.0,4.2,2.0,16.1,10.4,18.0,5.4,0.122383894758,4.1,18.0,0.551724137931,0.106194690265
1892,1400000US36005001600,33910.0,9.7,6.3,5.2,1.7,4.6,8.7,0.161124833745,7.9,4.6,0.408702261068,0.232834279814
1893,1400000US36005001900,26291.0,26.8,10.5,0.0,0.0,7.2,9.3,0.4994807892,11.3,7.2,0.16303219107,0.409165302782
1894,1400000US36005002000,24833.0,27.0,19.2,2.7,2.4,5.9,8.5,0.143382352941,20.1,5.9,0.42789373814,0.407506702413
1895,1400000US36005002300,12454.0,37.5,27.4,0.5,0.5,2.2,18.1,0.356547619048,27.4,2.2,0.233134920635,0.582174137043
1896,1400000US36005002500,14433.0,30.9,21.0,0.9,0.4,0.7,20.4,0.492824928249,21.0,0.7,0.225297252973,0.448312801285
1897,1400000US36005002701,24389.0,21.2,14.0,2.4,2.4,2.6,11.9,0.267902813299,14.0,2.6,0.151854219949,0.587378640777
1898,1400000US36005002702,19542.0,27.9,19.3,0.0,0.0,0.8,13.1,0.235344458708,19.6,0.8,0.355584082157,0.512592592593
1899,1400000US36005002800,47363.0,8.5,6.4,4.0,3.0,11.4,10.0,0.0467305151915,7.0,11.4,0.191545574637,0.0983892033087
1900,1400000US36005003100,37167.0,13.7,13.7,0.0,0.0,6.8,9.2,0.208366854385,15.2,6.8,0.352373290426,0.179487179487
1901,1400000US36005003300,20670.0,26.0,18.3,0.0,0.0,4.8,13.1,0.384138117076,20.5,4.8,0.170758025357,0.645188284519
1902,1400000US36005003500,27585.0,20.0,5.9,0.0,0.0,3.2,13.3,0.261736803697,6.1,3.2,0.432741425444,0.408245755861
1903,1400000US36005003700,26111.0,27.8,18.5,0.0,0.0,0.0,0.0,0.235294117647,18.5,0.0,0.748663101604,0.907407407407
1904,1400000US36005003800,58750.0,10.6,6.1,5.0,5.0,18.4,0.0,0.140127388535,10.8,18.4,0.359583092067,0.252955082742
1905,1400000US36005003900,32875.0,20.1,12.9,3.9,2.7,11.0,8.1,0.456043175685,13.6,11.0,0.241158926289,0.408866995074
1906,1400000US36005004001,48400.0,2.3,2.3,9.2,9.2,11.5,0.0,0.27572815534,5.4,11.5,0.0718446601942,0.12030075188
1907,1400000US36005004100,19752.0,24.7,18.5,1.5,0.0,0.5,15.6,0.315693707354,19.1,0.5,0.272630780895,0.425916624812
1908,1400000US36005004200,36840.0,12.3,9.0,1.8,1.8,2.9,6.6,0.0981796478663,9.8,2.9,0.422411220531,0.323626981202
1909,1400000US36005004300,26042.0,23.0,19.5,1.9,1.4,2.2,14.1,0.271049357113,21.7,2.2,0.340729987557,0.413057124922
1910,1400000US36005004400,16313.0,32.8,23.1,4.6,0.9,0.5,14.7,0.192359550562,24.2,0.5,0.245617977528,0.414165666267
1911,1400000US36005004600,27083.0,29.9,22.6,5.2,1.5,3.7,7.9,0.143271461717,25.0,3.7,0.642691415313,0.475482912333
1912,1400000US36005004800,26114.0,21.3,16.1,0.3,0.0,5.0,6.8,0.157496214033,16.8,5.0,0.437405350833,0.461844197138
1913,1400000US36005005001,29125.0,21.9,16.2,4.8,4.8,1.6,9.2,0.15516870836,19.0,1.6,0.3879217709,0.402
1914,1400000US36005005002,26126.0,22.1,15.1,2.2,2.2,2.9,9.8,0.133231823373,15.7,2.9,0.532356299962,0.369024856597
1915,1400000US36005005100,16580.0,30.3,24.1,0.6,0.6,0.0,18.0,0.163388510224,24.1,0.0,0.261733203505,0.563692625064
1916,1400000US36005005200,27875.0,19.1,10.1,0.0,0.0,1.3,18.8,0.0724035608309,10.4,1.3,0.405341246291,0.239884393064
1917,1400000US36005005300,16410.0,34.4,26.5,0.6,0.6,3.7,12.7,0.090027700831,26.5,3.7,0.239335180055,0.498069498069
1918,1400000US36005005400,30082.0,17.5,12.6,3.7,2.2,6.6,8.5,0.166829586184,13.7,6.6,0.474421635712,0.380698638247
1919,1400000US36005005600,26964.0,19.1,15.4,3.8,0.9,3.9,13.9,0.136956521739,18.1,3.9,0.395217391304,0.326576576577
1920,1400000US36005005902,35666.0,21.2,17.7,1.4,1.4,5.5,7.6,0.225474031327,23.1,5.5,0.349134377576,0.249751243781
1921,1400000US36005006000,37917.0,5.8,5.8,3.3,3.3,0.0,12.4,0.0794701986755,6.6,0.0,0.771891096394,0.353591160221
1922,1400000US36005006100,40970.0,5.9,4.0,3.7,2.6,3.1,5.7,0.0263997679141,5.1,3.1,0.0841311285176,0.0984028851108
1923,1400000US36005006200,25017.0,14.2,7.6,0.5,0.5,5.3,15.6,0.0967832167832,7.0,5.3,0.33020979021,0.384548985757
