,Id,Median_income,"Income_Less_than_$10,000","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $150,000 or more","Income_$150,000_199,999","Income_$100,000_149,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $10,000 to $14,999",White_alone_percent,"Renter-occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $5,000 to $9,999","Occupied housing units; Estimate; Occupied housing units - HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) - $100,000 to $149,999",Some_other_race_alone_percent,foodstamp_per_HH
4007,1400000US36005000200,71250.0,6.3,4.6,6.8,4.9,23.4,2.5,0.17680608365,10.7,23.4,0.426911702577,0.186492709133
4008,1400000US36005000400,75833.0,2.1,0.6,12.5,7.2,22.8,4.6,0.181922855498,0.0,22.8,0.474189215122,0.114744351962
4009,1400000US36005001600,32328.0,9.6,6.8,2.4,0.6,5.9,12.2,0.179832260581,8.6,5.9,0.426955334504,0.25618556701
4010,1400000US36005001900,29491.0,18.5,9.3,2.6,2.6,7.1,8.2,0.438016528926,10.1,7.1,0.217768595041,0.354362416107
4011,1400000US36005002000,22706.0,23.9,18.8,3.1,2.0,6.1,12.6,0.128475888772,20.6,6.1,0.451718878329,0.466267863077
4012,1400000US36005002300,13556.0,33.8,21.9,0.3,0.3,1.3,19.7,0.349236241892,22.0,1.3,0.231429169282,0.6359375
4013,1400000US36005002500,14776.0,30.6,20.6,0.5,0.0,0.6,20.1,0.432183908046,20.5,0.6,0.274399164054,0.511500547645
4014,1400000US36005002701,26272.0,21.6,14.9,4.3,4.3,1.7,13.4,0.295806451613,14.9,1.7,0.154193548387,0.590132827324
4015,1400000US36005002702,20563.0,24.0,18.3,0.0,0.0,1.6,13.6,0.28683818839,18.6,1.6,0.342122049755,0.504839910648
4016,1400000US36005002800,49583.0,5.2,3.6,4.6,2.6,12.6,5.2,0.0334871006322,4.0,12.6,0.187766957116,0.103088299261
