cartodb_id,the_geom,store_name,longitude,latitude,address,address_line__2,city,state,zip5,zip4,county,count_vals,count_vals_density
8431,0101000020E61000004CFE277FF77652C0A54A94BDA5584440,Syk Inc,-73.858856,40.692558,8505 Jamaica Ave,,Woodhaven,NY,11421,1923,QUEENS ,1,384615.384615385
8433,0101000020E6100000DBDFD91EBD7A52C065A6B4FE966A4440,La Hermandad Supermarket Inc,-73.917793,40.832733,193 Mcclellan St,,Bronx,NY,10456,4855,BRONX ,1,384615.384615385
8435,0101000020E61000008099EFE0277552C091477023655B4440,Orchard Supermarket Corp/Orchard Fine Foods,-73.830559,40.714024,11040 Queens Boulevard,aka 11040/44/46,Forest Hills,NY,11375,,QUEENS ,1,384615.384615385
8436,0101000020E6100000B610E4A0847952C03A92CB7F485F4440,3907 65th Food Corp/C-Town Supermarket,-73.89872,40.7444,3907 65th Pl,,Woodside,NY,11377,3780,QUEENS ,1,384615.384615385
8437,0101000020E61000001DAED51EF67152C0522B4CDF6B604440,H-mart,-73.780647,40.753292,4640 Francis Lewis Blvd,,Bayside,NY,11361,3070,QUEENS ,1,384615.384615385
8438,0101000020E6100000BE4C1421757252C004E5B67D8F5A4440,National Green Market Inc,-73.788399,40.707504,17104 Jamaica Ave,,Jamaica,NY,11432,5428,QUEENS ,1,384615.384615385
8439,0101000020E6100000CF85915ED47852C0A038807EDF534440,Fairfield Pharmacy Inc,-73.887962,40.655258,953 Pennsylvania Ave,,Brooklyn,NY,11207,8416,KINGS ,1,384615.384615385
8440,0101000020E6100000EA758BC0587C52C0E257ACE1226B4440,King Meat Corp/Compare Foods,-73.942917,40.837002,3871 Broadway,,New York,NY,10032,1505,NEW YORK ,1,384615.384615385
8441,0101000020E610000066DCD440F37752C09432A9A10D544440,Elton Deli Corp,-73.874222,40.656666,1166 Elton St,,Brooklyn,NY,11239,,KINGS ,1,384615.384615385
8443,0101000020E610000030478FDFDB7952C0DD5D6743FE694440,Precious Joy African Market,-73.904045,40.828072,1133 Boston Road,Unit 4,Bronx,NY,10456,,BRONX ,1,384615.384615385
8444,0101000020E6100000E44EE960FD7B52C05419C6DD206A4440,Moe's Deli - Grocery Inc,-73.93734,40.829128,300 W 155th St,,New York,NY,10039,1303,NEW YORK ,1,384615.384615385
8446,0101000020E61000001CF0F961847452C052F2EA1C03584440,West Indian Farm Market,-73.82058,40.687595,12302 Liberty Ave,,South Richmond Hill,NY,11419,2116,QUEENS ,1,384615.384615385
8449,0101000020E61000008BA548BE127752C0000341800C574440,As-salam Mini Market & Grocery,-73.860519,40.680069,7704 101st Ave,,Ozone Park,NY,11416,1914,QUEENS ,1,384615.384615385
8450,0101000020E61000008693347F4C7A52C0D82AC1E270684440,Eagle Slope Community Farm,-73.910919,40.815945,600 Westchester Ave,,Bronx,NY,10455,1521,BRONX ,1,384615.384615385
8455,0101000020E6100000B72572C1197B52C09F5912A0A66E4440,Luna Gourmet Deli Grocery Inc,-73.923447,40.86446,147 Sherman Ave,,New York,NY,10034,4604,NEW YORK ,1,384615.384615385
8456,0101000020E6100000CF85915ED47952C0AB5CA8FC6B6D4440,181st Candy & Deli Corp,-73.903587,40.854858,110 E 181st St,,Bronx,NY,10453,3445,BRONX ,1,384615.384615385
8460,0101000020E6100000847EA65EB77D52C0A950DD5CFC4F4440,Berry Goods Inc,-73.964317,40.624889,1123 Avenue J,,Brooklyn,NY,11230,3609,KINGS ,1,384615.384615385
8461,0101000020E6100000D5E8D500A57E52C097E4805D4D524440,Ilke Corp N/A,-73.978821,40.642986,130 Church Ave,,Brooklyn,NY,11218,3918,KINGS ,1,384615.384615385
8462,0101000020E6100000C74961DEE37C52C04B22FB20CB5C4440,Manhattan Fruit 678 Inc,-73.951408,40.724949,678 Manhattan Ave,,Brooklyn,NY,11222,3114,KINGS ,1,384615.384615385
8463,0101000020E610000041B96DDFA37A52C0B189CC5CE0684440,Vazquez Deli & Grocey,-73.916252,40.819347,680 Melrose Ave,Store 4,Bronx,NY,10455,,BRONX ,1,384615.384615385
8465,0101000020E610000024D236FE447A52C09D2CB5DE6F684440,Deals 5345,-73.910461,40.815914,612 Westchester Ave,,Bronx,NY,10455,1521,BRONX ,1,384615.384615385
8466,0101000020E6100000F3936A9F8E7B52C051DD5CFC6D614440,34 Ave Meat & Produce Corp/Mi Tierra Supermarket,-73.93058,40.761169,2418 34th Ave,,Astoria,NY,11106,4320,QUEENS ,1,384615.384615385
8469,0101000020E61000004A0D6D00367952C0A7ECF483BA6E4440,World Grocery Inc,-73.893921,40.865067,229 E Kingesbridge Rd,,Bronx,NY,10458,,BRONX ,1,384615.384615385
8471,0101000020E6100000E76F4221027452C0D6FD63213A5A4440,Hillside Convenient And Discount,-73.81263,40.704899,14301 Hillside Ave,,Jamaica,NY,11435,3230,QUEENS ,1,384615.384615385
8473,0101000020E61000003FC571E0D57F52C07993DFA2935F4440,Chelsea Fine Foods,-73.997429,40.746693,300 8th Ave,,New York,NY,10001,4802,NEW YORK ,1,384615.384615385
8475,0101000020E61000008FC6A17E177C52C0DE5A26C3F16C4440,"181 German Deli, Inc.",-73.938934,40.851128,815 181 Street W,,New York,NY,10033,4544,NEW YORK ,1,384615.384615385
